Treatment,Concentration µg/mL,Replicate,Total ,Deaths,Alive,% Mortality
Aged PS,0,1,20,7,13,35
Aged PS,0,2,33,8,25,24.24242424
Aged PS,0,3,32,5,27,15.625
Aged PS,0,4,30,2,28,6.666666667
Aged PS,0,5,35,8,27,22.85714286
Aged PS,0,6,35,7,28,20
Aged PS,0.53,1,25,6,19,24
Aged PS,0.53,2,21,4,17,19.04761905
Aged PS,0.53,3,41,10,31,24.3902439
Aged PS,1.6,1,27,8,19,29.62962963
Aged PS,1.6,2,24,7,17,29.16666667
Aged PS,1.6,3,38,12,26,31.57894737
Aged PS,4.4,1,24,6,18,25
Aged PS,4.4,2,62,26,36,41.93548387
Aged PS,4.4,3,28,8,20,28.57142857
Aged PS,4.7,1,21,9,12,42.85714286
Aged PS,4.7,2,57,15,42,26.31578947
Aged PS,4.7,3,67,19,48,28.35820896
Aged PS,13,1,15,5,10,33.33333333
Aged PS,13,2,43,16,27,37.20930233
Aged PS,13,3,64,20,44,31.25
Aged PS,14,1,13,6,7,46.15384615
Aged PS,14,2,50,17,33,34
Aged PS,14,3,49,18,31,36.73469388
Aged PS,40,1,21,8,13,38.0952381
Aged PS,40,2,54,21,33,38.88888889
Aged PS,40,3,59,22,37,37.28813559
Aged PS,43,1,11,7,4,63.63636364
Aged PS,43,2,46,16,30,34.7826087
Aged PS,43,3,19,7,12,36.84210526
Aged PS,120,1,22,10,12,45.45454545
Aged PS,120,2,38,12,26,31.57894737
Aged PS,120,3,40,14,26,35
Pure PS,0,1,23,13,10,56.52173913
Pure PS,0,2,34,12,22,35.29411765
Pure PS,0,3,18,7,11,38.88888889
Pure PS,0,4,22,4,18,18.18181818
Pure PS,0,5,22,4,18,18.18181818
Pure PS,0,6,20,4,16,20
Pure PS,76,1,23,7,16,30.43478261
Pure PS,76,2,22,11,11,50
Pure PS,76,3,23,7,16,30.43478261
Pure PS,78,1,19,4,15,21.05263158
Pure PS,78,2,16,4,12,25
Pure PS,78,3,23,7,16,30.43478261
Pure PS,227,1,10,4,6,40
Pure PS,227,2,26,11,15,42.30769231
Pure PS,227,3,26,10,16,38.46153846
Pure PS,235,1,20,7,13,35
Pure PS,235,2,22,7,15,31.81818182
Pure PS,235,3,28,7,21,25
Pure PS,680,1,37,20,17,54.05405405
Pure PS,680,2,28,13,15,46.42857143
Pure PS,680,3,12,3,9,25
Pure PS,704,1,18,8,10,44.44444444
Pure PS,704,2,19,7,12,36.84210526
Pure PS,704,3,35,14,21,40
Pure PS,2049,1,16,6,10,37.5
Pure PS,2049,2,18,8,10,44.44444444
Pure PS,2049,3,16,8,8,50
Pure PS,2111,1,21,12,9,57.14285714
Pure PS,2111,2,18,8,10,44.44444444
Pure PS,2111,3,21,9,12,42.85714286
PS,0,1,23,5,18,21.73913043
PS,0,2,18,4,14,22.22222222
PS,0,3,30,9,21,30
PS,0,4,17,1,16,5.882352941
PS,0,5,27,4,23,14.81481481
PS,0,6,18,0,18,0
PS,49,1,39,11,28,28.20512821
PS,49,2,24,8,16,33.33333333
PS,49,3,20,6,14,30
PS,77,1,28,6,22,21.42857143
PS,77,2,20,2,18,10
PS,77,3,29,4,25,13.79310345
PS,148,1,68,21,47,30.88235294
PS,148,2,41,12,29,29.26829268
PS,148,3,17,7,10,41.17647059
PS,231,1,14,4,10,28.57142857
PS,231,2,21,3,18,14.28571429
PS,231,3,39,5,34,12.82051282
PS,444,1,82,24,58,29.26829268
PS,444,2,25,8,17,32
PS,444,3,55,12,43,21.81818182
PS,694,1,17,5,12,29.41176471
PS,694,2,22,4,18,18.18181818
PS,694,3,15,4,11,26.66666667
PS,1333,1,21,8,13,38.0952381
PS,1333,2,27,8,19,29.62962963
PS,1333,3,37,13,24,35.13513514
PS,2083,1,14,6,8,42.85714286
PS,2083,2,31,9,22,29.03225806
PS,2083,3,71,12,59,16.90140845
PS,4000,1,19,8,11,42.10526316
PS,4000,2,43,11,32,25.58139535
PS,4000,3,36,11,25,30.55555556